entity_id,state,last_changed
sensor.esp32_bme680_humidity,49.4,2025-03-10T22:16:10.327Z
sensor.esp32_bme680_humidity,49.3,2025-03-10T22:16:15.139Z
sensor.esp32_bme680_humidity,49.2,2025-03-10T22:16:25.080Z
sensor.esp32_bme680_humidity,49.0,2025-03-10T22:16:30.087Z
sensor.esp32_bme680_humidity,48.9,2025-03-10T22:16:40.113Z
sensor.esp32_bme680_humidity,48.8,2025-03-10T22:16:50.114Z
sensor.esp32_bme680_humidity,49.0,2025-03-10T22:17:00.089Z
sensor.esp32_bme680_humidity,49.1,2025-03-10T22:17:05.111Z
sensor.esp32_bme680_humidity,49.0,2025-03-10T22:17:10.229Z
sensor.esp32_bme680_humidity,48.9,2025-03-10T22:17:15.083Z
sensor.esp32_bme680_humidity,48.8,2025-03-10T22:17:20.160Z
sensor.esp32_bme680_humidity,48.9,2025-03-10T22:17:35.139Z
sensor.esp32_bme680_humidity,48.8,2025-03-10T22:17:40.117Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T22:19:45.799Z
sensor.esp32_bme680_humidity,48.8,2025-03-10T23:21:28.573Z
sensor.esp32_bme680_humidity,48.7,2025-03-10T23:21:42.302Z
sensor.esp32_bme680_humidity,48.8,2025-03-10T23:22:17.389Z
sensor.esp32_bme680_humidity,48.7,2025-03-10T23:22:27.323Z
sensor.esp32_bme680_humidity,48.6,2025-03-10T23:23:02.342Z
sensor.esp32_bme680_humidity,48.5,2025-03-10T23:23:22.304Z
sensor.esp32_bme680_humidity,48.6,2025-03-10T23:23:47.388Z
sensor.esp32_bme680_humidity,48.7,2025-03-10T23:24:12.286Z
sensor.esp32_bme680_humidity,48.6,2025-03-10T23:24:17.391Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T23:24:49.138Z
sensor.esp32_bme680_humidity,48.6,2025-03-10T23:24:50.267Z
sensor.esp32_bme680_humidity,48.7,2025-03-10T23:25:10.242Z
sensor.esp32_bme680_humidity,48.8,2025-03-10T23:25:20.257Z
sensor.esp32_bme680_humidity,48.9,2025-03-10T23:25:25.301Z
sensor.esp32_bme680_humidity,49.0,2025-03-10T23:25:30.409Z
sensor.esp32_bme680_humidity,49.1,2025-03-10T23:26:00.297Z
sensor.esp32_bme680_humidity,49.0,2025-03-10T23:26:05.209Z
